conglome,vivienda,hogar,result,nbi1,nbi2,nbi3,nbi4,nbi5
5639,15,11,1,0,0,0,0,0
5639,26,11,1,0,0,0,0,0
5639,54,11,1,0,0,0,0,0
5639,79,11,1,0,0,0,0,0
5641,4,11,1,0,0,0,0,0
5641,16,11,1,0,0,0,0,0
5641,41,11,1,0,0,0,0,0
5641,76,11,1,0,0,0,0,0
5641,97,11,1,0,0,0,0,0
5654,37,11,2,0,1,1,0,0
5654,38,11,2,1,1,0,0,0
5654,39,11,1,0,0,1,0,0
5654,40,11,1,0,0,0,0,0
5654,136,11,1,0,1,0,0,0
5654,137,11,1,1,0,1,0,0
5654,139,11,2,0,1,0,0,0
5654,140,11,1,0,0,0,0,0
5655,95,11,1,0,0,0,0,0
5655,96,11,2,0,0,0,0,0
5655,98,11,1,0,0,0,0,0
5655,272,11,1,0,0,0,0,0
5655,273,11,2,0,0,0,0,0
5655,275,11,1,0,0,0,0,0
5655,281,11,1,0,0,0,0,0
5657,131,11,2,0,0,0,0,0
5657,343,11,1,0,0,0,0,0
5657,348,11,1,1,0,0,0,0
5677,45,11,1,0,0,0,0,0
5677,47,11,1,0,0,0,0,0
5677,48,11,1,0,0,0,0,0
5677,49,11,1,0,1,0,0,0
5677,51,11,1,0,0,0,0,0
5677,56,11,1,0,0,0,0,0
5679,46,11,1,0,0,1,0,0
5679,116,11,1,0,1,1,0,0
5679,120,11,1,0,1,1,0,0
5681,112,11,1,0,0,0,0,0
5681,113,11,2,0,0,0,0,0
5681,114,11,1,0,0,0,0,0
5681,115,11,1,0,0,0,0,0
5681,233,11,1,0,0,0,0,0
5681,238,11,1,0,0,0,0,0
5681,239,11,2,0,0,0,0,0
5684,18,12,2,0,0,0,0,0
5684,18,22,1,0,0,0,0,0
5684,19,11,1,1,0,0,0,0
5684,25,11,1,0,0,0,0,0
5684,50,11,1,0,0,0,0,0
5684,55,11,1,1,0,0,0,0
5684,58,12,1,0,0,0,0,0
5684,58,22,1,0,0,0,0,0
5684,60,11,1,0,0,0,0,0
5687,27,11,1,0,0,0,0,0
5687,40,11,1,0,0,0,0,0
5687,82,11,1,0,0,0,0,0
5687,96,11,1,0,0,0,0,0
5687,146,11,1,0,0,0,0,0
5691,8,11,1,0,0,0,0,0
5691,35,11,1,0,0,0,0,0
5691,48,11,1,0,0,0,0,0
5691,128,11,1,0,0,0,0,0
5691,141,11,1,0,0,0,0,0
5692,7,11,1,0,0,0,0,0
5692,23,11,1,0,1,0,0,0
5692,68,11,1,0,0,0,0,0
5692,80,11,1,0,0,0,0,0
5692,97,11,1,0,0,0,0,0
5697,64,11,1,0,0,0,0,0
5697,81,11,1,0,0,0,0,0
5697,134,11,2,0,0,0,0,0
5697,151,11,1,0,0,0,0,0
5698,32,11,1,0,0,0,0,0
5698,48,11,1,0,0,0,0,0
5698,65,11,1,0,0,0,0,0
5698,97,11,1,0,0,0,0,0
5698,114,11,1,0,0,0,0,0
5699,6,11,1,0,0,0,0,0
5699,23,11,1,0,0,0,0,0
5699,35,11,1,0,0,0,0,0
5699,53,11,1,0,0,0,0,0
5699,62,11,1,0,0,0,0,0
5699,80,11,1,0,0,0,0,0
5701,35,11,1,0,0,0,0,0
5701,84,11,1,0,0,0,0,0
5701,94,11,1,0,0,0,0,0
5701,108,11,1,0,0,0,0,0
5701,119,11,1,0,0,0,0,0
5701,129,11,1,0,0,0,0,0
5703,69,11,1,0,0,0,0,0
5703,132,11,1,0,0,0,0,0
5703,174,11,1,0,0,0,0,0
5703,195,11,1,0,0,0,0,0
5704,33,11,1,0,0,0,0,0
5704,49,11,1,0,1,0,0,0
5704,82,11,1,0,0,0,0,0
5706,4,11,1,0,0,0,0,0
5706,43,11,1,0,0,0,0,0
5706,57,11,1,0,0,0,0,0
5706,69,11,1,1,0,0,0,0
5706,83,11,1,0,0,0,0,0
5709,26,11,2,0,0,0,0,0
5709,74,11,1,0,0,0,0,0
5709,96,11,1,0,0,0,0,0
5716,13,11,1,0,0,0,0,0
5716,71,11,1,0,0,0,0,0
5716,90,11,1,0,0,0,0,0
5716,108,11,1,0,0,0,0,0
5716,146,11,2,0,0,0,0,0
5728,7,11,1,0,0,0,0,0
5728,23,11,1,0,0,0,0,0
5728,64,11,1,0,0,0,0,0
5739,3,11,1,1,0,0,0,0
5739,16,11,1,0,0,0,0,0
5739,29,11,1,0,0,0,0,0
5739,42,11,1,0,0,0,0,0
5739,66,11,1,0,0,0,0,0
5739,79,11,1,0,0,0,0,0
5748,9,11,1,0,0,0,0,0
5748,24,11,1,0,0,0,0,0
5748,55,11,1,0,0,0,0,0
